usrname,七夕超火,超级火箭,七夕火箭,火箭,七夕飞机,飞机,七夕办卡,办卡,金锄头,冰棍,小飞碟,鹊桥飞星,F4,有排面,七夕鹊羽,打call,帐篷,好人卡,没排面,药丸,赞,总计
318624丶不忘初鑫,,,,,300.0,,,,42.0,,,,1.2,,,,,0.30000000000000004,,,,343.5
丰城九天家私,,,,,,,,,342.0,,,,0.6,,,,,,,,,342.6
韭菜田里看球,,,,,,,,,342.0,,,,,,,,,,,,,342.0
你的男神张秋阳,,,,,,100.0,,18.0,210.0,,2.0,,,,,,,9.99999999999998,,,0.9999999999999999,341.0
新1111111111,,,,,,200.0,,,24.0,,,,3.0,,,,9.999999999999996,101.99999999999848,,,,338.99999999999847
山鹰云涌383,,,,,,200.0,,,30.0,,8.0,,77.39999999999998,,,,,14.899999999999963,,,0.5,330.79999999999995
锦衣卫V坚坚哥哥,,,,,,100.0,,,174.0,,,,,,,,,45.80000000000038,,,,319.8000000000004
YF了表心意,,,,,,300.0,,18.0,,,,,,,,0.8,,,0.2,,,319.0
我是苏银刁,,,,,,200.0,42.0,18.0,6.0,,8.0,,0.6,,,12.999999999999986,,0.30000000000000004,,,30.90000000000017,318.8000000000001
一个人在路上等你,,,,,,200.0,,,90.0,,,,21.000000000000007,,,,,7.799999999999988,,,,318.8
常德疯子,,,,,,300.0,,,18.0,,,,,,,,,,,,,318.0
CP丶星辰,,,,,,,,,300.0,,,,0.6,,,,,15.499999999999961,,,,316.09999999999997
户外黑粉丶嘿打卵,,,,,,100.0,,36.0,126.0,,32.0,,,,,,,21.70000000000004,,,,315.70000000000005
逝去的光輝,,,,,,100.0,,,162.0,,,,53.400000000000084,,,,,0.1,,,,315.5000000000001
孔家三少爷,,,,,,100.0,,6.0,162.0,2.0,17.0,,18.0,,,,0.6000000000000001,7.39999999999999,,,,313.0
F4丶李富贵,,,,,,300.0,,,6.0,,4.0,,,,,,,,,,,310.0
泓泓清泉,,,,,,300.0,,,,,,,,,,,,3.700000000000002,,,,303.7
雀依麻将机,,,,,,300.0,,,,,,,,,,,,,,,,300.0
未止,,,,,,200.0,,,96.0,,,,,,,,,4.000000000000002,,,,300.0
F4丶打废逼俊鸡儿,,,,,,300.0,,,,,,,,,,,,,,,,300.0
刂天道酬勤刂,,,,,,300.0,,,,,,,,,,,,,,,,300.0
镜花水月人惆怅,,,,,,300.0,,,,,,,,,,,,,,,,300.0
2迷恋,,,,,,300.0,,,,,,,,,,,,,,,,300.0
F4丶AA的歌迷,,,,,,200.0,,,96.0,,,,,,,,,0.1,,,,296.1
尼古拉斯刘雯,,,,,,200.0,,6.0,30.0,,32.0,,8.399999999999999,,,,0.2,,,,7.999999999999988,284.59999999999997
锦衣卫丶ZZC,,,,,,200.0,,,36.0,,1.0,,,,,,0.2,32.000000000000185,,,14.999999999999963,284.2000000000001
F4丶ToYouth,,,,,,200.0,,,66.0,,14.0,,0.6,,,0.2,,2.800000000000001,,,0.1,283.7
睫妹的可爱cherry,,,,,,200.0,12.0,12.0,30.0,11.0,,,7.799999999999998,,,,1.9999999999999998,2.2000000000000006,,,,277.0
春风十里不如菡,,,,,,200.0,,,12.0,,50.0,,,,,,,12.99999999999997,,,,274.99999999999994
红塔青烟,,,,,,200.0,,,66.0,,,,3.6,,,0.2,,2.0000000000000004,,,1.8000000000000005,273.59999999999997
奋斗吧兄弟姐妹们,,,,,,200.0,,6.0,18.0,,,3.0,24.600000000000016,,,,,19.400000000000006,,,,271.0
鸡耳朵,,,,,100.0,,12.0,,108.0,,14.0,,14.399999999999995,,,,,21.00000000000003,,,,269.4
山行人灬伍家大少,,,,,,100.0,,18.0,66.0,,4.0,,25.80000000000002,,0.2,9.399999999999999,0.2,19.300000000000004,,,14.699999999999964,257.59999999999997
锦衣卫丶都是秃头,,,,,,100.0,,6.0,114.0,,3.0,,0.6,,,0.2,,26.0000000000001,,,4.799999999999999,254.60000000000014
G与梦同行,,,,,,100.0,,,96.0,,,,3.6,,,,0.4,50.00000000000044,,,,250.00000000000045
贾努扎伊轶,,,,,,,,24.0,18.0,,188.0,,,,,1.9999999999999998,,11.999999999999973,,3.0000000000000013,3.0000000000000013,249.99999999999997
我有一辆自行车i,,,,,,100.0,,,24.0,,21.0,,,,,,,99.9999999999986,,,,244.99999999999858
户外黑粉丶工厂门卫,,,,,,200.0,,,30.0,,12.0,,0.6,,,,0.2,,,,,242.79999999999998
F4丶守护神,,,,,,,,,150.0,,,,,,,,,91.99999999999905,,,,241.99999999999903
老乡开下门0,,,,,,100.0,,18.0,90.0,1.0,13.0,,10.799999999999997,,,1.2,,5.1999999999999975,,,2.700000000000001,241.89999999999998
F4丶清凉自在,,,,,,100.0,,,24.0,,25.0,10.0,28.200000000000024,,0.8,45.0000000000001,6.600000000000003,0.1,,,,239.7000000000001
